V,I_0,I_1,I_2,I_3,I_4,I_5
-2.4898500000000103,-3.297029623135e-09,-3.297029623135e-09,-2.7985411087392894e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.4798500000000105,-3.296446658281161e-09,-3.297029623135e-09,-2.9004812058449404e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.4698500000000108,-3.2956785886450083e-09,-3.297029623135e-09,-3.0313310410505762e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.459850000000011,-3.2949105190088556e-09,-3.297029623135e-09,-3.1621808762562125e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.449850000000011,-3.28698824755513e-09,-3.297029623135e-09,-3.180074879034548e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.4398500000000114,-3.2766043152609345e-09,-3.297029623135e-09,-3.1591023588269195e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.4298500000000116,-3.266220382966739e-09,-3.297029623135e-09,-3.1381298386192915e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.419850000000012,-3.261877998657953e-09,-3.291250425245543e-09,-3.161925138319355e-09,-3.297029623135e-09,-3.296204419981671e-09,-3.297029623135e-09
-2.409850000000012,-3.2597815121599423e-09,-3.2833228561241908e-09,-3.2023625219632534e-09,-3.297029623135e-09,-3.2950724540648936e-09,-3.297029623135e-09
-2.3998500000000123,-3.2576850256619312e-09,-3.275395287002838e-09,-3.2427999056071517e-09,-3.297029623135e-09,-3.2939404881481165e-09,-3.297029623135e-09
-2.3898500000000125,-3.220547811041541e-09,-3.2676471082134542e-09,-3.2063745130925185e-09,-3.2887028838414756e-09,-3.294320550497358e-09,-3.297029623135e-09
-2.3798500000000127,-3.169305843305887e-09,-3.2599711384356765e-09,-3.139009966640115e-09,-3.2770244276093033e-09,-3.295309241335169e-09,-3.297029623135e-09
-2.369850000000013,-3.118063875570233e-09,-3.252295168657899e-09,-3.0716454201877118e-09,-3.265345971377131e-09,-3.29629793217298e-09,-3.297029623135e-09
-2.359850000000013,-3.123085308327935e-09,-3.2517432179445e-09,-2.9741074553662658e-09,-3.261739868030632e-09,-3.2965868126995223e-09,-3.2955576542795296e-09
-2.3498500000000133,-3.1524499315571213e-09,-3.254273579204533e-09,-2.863514515834926e-09,-3.2616263872793884e-09,-3.296572909968179e-09,-3.293448816377705e-09
-2.3398500000000135,-3.1818145547863077e-09,-3.256803940464566e-09,-2.7529215763035863e-09,-3.2615129065281445e-09,-3.296559007236836e-09,-3.291339978475881e-09
-2.3298500000000137,-3.158864228429904e-09,-3.202044197869086e-09,-2.7028935056016243e-09,-3.236380004697463e-09,-3.280682572118643e-09,-3.292111813147943e-09
