V_0,didv_0,V_1,didv_1,V_2,didv_2,V_3,didv_3,V_4,didv_4,V_5,didv_5
-2.8498500000000027,-4.9672713349643564e-05,-2.8498500000000027,-4.1982423527541704e-05,-2.8498500000000027,0.02498768556633793,-2.8498500000000027,-5.1774972121825233e-05,-2.8498500000000027,-7.027262578829028e-05,-2.8498500000000027,-9.379647245813075e-05
-2.839850000000003,-4.480771749688738e-05,-2.839850000000003,-3.787062244889947e-05,-2.839850000000003,0.04146671414577896,-2.839850000000003,-4.6704078915857144e-05,-2.839850000000003,-6.339005364847344e-05,-2.839850000000003,-8.460995094899785e-05
-2.829850000000003,-3.927931311866613e-05,-2.829850000000003,-3.3198121223033655e-05,-2.829850000000003,0.05856081440142015,-2.829850000000003,-4.094170027257214e-05,-2.829850000000003,-5.556894894396482e-05,-2.829850000000003,-7.417072196129891e-05
-2.8198500000000033,-3.3750908740444867e-05,-2.8198500000000033,-2.852561999716785e-05,-2.8198500000000033,0.07565491465706133,-2.8198500000000033,-3.5179321629287144e-05,-2.8198500000000033,-4.774784423945619e-05,-2.8198500000000033,-6.373149297359995e-05
-2.8098500000000035,-2.3112121405723858e-05,-2.8098500000000035,-1.953392122325527e-05,-2.8098500000000035,0.0972235296994952,-2.8098500000000035,-2.4090277352822964e-05,-2.8098500000000035,-3.2697015105911444e-05,-2.8098500000000035,-4.364238054436861e-05
-2.7998500000000037,-1.2058978696149636e-05,-2.7998500000000037,-1.019201724274271e-05,-2.7998500000000037,0.11915494323815717,-2.7998500000000037,-1.256934126826121e-05,-2.7998500000000037,-1.7059992099739486e-05,-2.7998500000000037,-2.2770845133387857e-05
-2.789850000000004,-1.0058359865754147e-06,-2.789850000000004,-8.501132622301567e-07,-2.789850000000004,0.14108635677681913,-2.789850000000004,-1.0484051836994568e-06,-2.789850000000004,-1.4229690935675281e-06,-2.789850000000004,-1.8993097224070928e-06
-2.779850000000004,0.0,-2.779850000000004,0.0,-2.779850000000004,0.16290606572768565,-2.779850000000004,0.0,-2.779850000000004,0.0,-2.779850000000004,0.0
-2.7698500000000044,0.0,-2.7698500000000044,0.0,-2.7698500000000044,0.18471459193103906,-2.7698500000000044,0.0,-2.7698500000000044,0.0,-2.7698500000000044,0.0
-2.7598500000000046,0.0,-2.7598500000000046,0.0,-2.7598500000000046,0.2065231181343925,-2.7598500000000046,0.0,-2.7598500000000046,0.0,-2.7598500000000046,0.0
-2.749850000000005,0.0,-2.749850000000005,0.0,-2.749850000000005,0.22588766428985105,-2.749850000000005,0.0,-2.749850000000005,0.0,-2.749850000000005,0.0
-2.739850000000005,0.0,-2.739850000000005,0.0,-2.739850000000005,0.2449624320503676,-2.739850000000005,0.0,-2.739850000000005,0.0,-2.739850000000005,0.0
-2.729850000000005,0.0,-2.729850000000005,0.0,-2.729850000000005,0.26403719981088414,-2.729850000000005,0.0,-2.729850000000005,0.0,-2.729850000000005,0.0
-2.7198500000000054,0.0,-2.7198500000000054,0.0,-2.7198500000000054,0.27813834544224136,-2.7198500000000054,0.0,-2.7198500000000054,0.0,-2.7198500000000054,0.0
-2.7098500000000056,0.0,-2.7098500000000056,0.0,-2.7098500000000056,0.2915548400182728,-2.7098500000000056,0.0,-2.7098500000000056,0.0,-2.7098500000000056,0.0
-2.699850000000006,0.0,-2.699850000000006,0.0,-2.699850000000006,0.30497133459430426,-2.699850000000006,0.0,-2.699850000000006,0.0,-2.699850000000006,0.0
