# Single Point Spectroscopy       
# 
# Sample                          Ges_au_teste
# Data set                        04/05/2023
# Creation Comment                
# Ramp start value                -1.500e+000 V
# Ramp end value                  1.500e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         No
# Channel name and data unit      I(V) [A]
# Sample position                 8.203e+002, -1.143e+003 [nm]
# Averaged curves                 13
# 
# 
# Ramp value [V]                            I(V)
# --------------             -------------------
     4.1275e-001              1.40019724294e-009
     4.3289e-001              1.01246460637e-009
     4.5302e-001              9.83847787995e-010
     4.7315e-001              1.26371412179e-009
     4.9329e-001              1.31518538045e-009
     5.1342e-001              1.34771868071e-009
     5.3356e-001              1.40428879344e-009
     5.5369e-001              1.67399541007e-009
     5.7383e-001              2.28685233141e-009
     5.9396e-001              1.84688753121e-009
     6.1409e-001              1.92518522539e-009
     6.3423e-001              2.17218890043e-009
     6.5436e-001              2.15306424351e-009
     6.7450e-001              2.55909333375e-009
     6.9463e-001              2.70425979624e-009
     7.1477e-001              2.83148211323e-009
     7.3490e-001              3.70322008405e-009
     7.5503e-001              3.79896649041e-009
     7.7517e-001              3.35313402286e-009
     7.9530e-001              3.68617237048e-009
     8.1544e-001              4.23714121788e-009
     8.3557e-001              4.22829180170e-009
     8.5570e-001              4.12254679093e-009
     8.7584e-001              4.18224115741e-009
     8.9597e-001              4.06331591434e-009
     9.1611e-001              5.12130657942e-009
     9.3624e-001              5.82835553350e-009
     9.5638e-001              6.25294220720e-009
     9.7651e-001              6.59532447394e-009
     9.9664e-001              6.89892803424e-009
     1.0168e+000              6.71611995844e-009
     1.0369e+000              8.23148397401e-009
     1.0570e+000              8.14882755199e-009
     1.0772e+000              7.26061933043e-009
     1.0973e+000              1.02771823102e-008
     1.1174e+000              9.64056133604e-009
     1.1376e+000              6.60358371195e-009
     1.1577e+000              5.94065468530e-009
     1.1779e+000              6.41823628836e-009
     1.1980e+000              6.67004372839e-009
     1.2181e+000              7.36983314984e-009
     1.2383e+000              7.69078494007e-009
     1.2584e+000              8.89462714571e-009
     1.2785e+000              1.03266219045e-008
     1.2987e+000              9.51677650452e-009
     1.3188e+000              1.14097678674e-008
     1.3389e+000              1.09450797810e-008
     1.3591e+000              1.08300775326e-008
     1.3792e+000              1.18158388252e-008
     1.3993e+000              1.10662792104e-008
     1.4195e+000              1.01776175782e-008
     1.4396e+000              1.03413537192e-008
     1.4597e+000              1.08452086402e-008
     1.4799e+000              1.19876112205e-008
     1.5000e+000              1.11762989037e-008
