V,I_0,I_1,I_2,I_3,I_4
-0.43989999999999907,-1.2024298178390027e-10,-4.1951489333528787e-10,-1.0256461896393348e-09,-3.315256930220043e-10,-1.2513742008642314e-10
-0.42989999999999906,-1.1197752600103618e-10,-4.4268833535343274e-10,-1.1596304830038532e-09,-3.184368665878886e-10,-1.1481301507690014e-10
-0.41989999999999905,-1.091354595118604e-10,-4.5116910856892436e-10,-1.2673696949899507e-09,-3.16373051881831e-10,-1.2211593948191504e-10
-0.40989999999999904,-1.0770474840854431e-10,-4.514014160016791e-10,-1.3033666463158728e-09,-3.182263889133722e-10,-1.2695307040540824e-10
-0.39989999999999903,-1.0981480608027805e-10,-4.309402040145951e-10,-1.1593786279154752e-09,-3.2990696626906026e-10,-1.256040878577182e-10
-0.389899999999999,-1.1072387455811487e-10,-4.0914438192085547e-10,-1.052271763301012e-09,-3.442911422055394e-10,-1.273174874453708e-10
-0.379899999999999,-1.0841853078169978e-10,-3.8377651512989225e-10,-1.0438762220547361e-09,-3.6591142022589687e-10,-1.3722726274820098e-10
-0.369899999999999,-1.0510679844453264e-10,-3.6802541816806227e-10,-1.0061009233218033e-09,-3.6544947082461525e-10,-1.4765364691293456e-10
-0.359899999999999,-9.890072381249089e-11,-3.799318530403921e-10,-8.838303530575209e-10,-3.014797200789619e-10,-1.595657821456221e-10
-0.349899999999999,-9.387897203872179e-11,-3.8459933237547537e-10,-8.186937296358364e-10,-2.520710298578566e-10,-1.6304650856677565e-10
-0.339899999999999,-9.250686825677045e-11,-3.6695900995293314e-10,-9.296229424024701e-10,-2.475341792123749e-10,-1.4054473028301195e-10
-0.32989999999999897,-9.223538440537395e-11,-3.469829852799971e-10,-1.0036482978826507e-09,-2.45526490856722e-10,-1.223748109030652e-10
-0.31989999999999896,-9.562786906738092e-11,-3.192313977042395e-10,-9.54820552699342e-10,-2.519383947126584e-10,-1.186256685665525e-10
-0.30989999999999895,-9.649014268672017e-11,-2.9506675133351993e-10,-9.148353217151824e-10,-2.5157526558867004e-10,-1.1222423041804217e-10
